№,Наименование,Сокращенное наименование,Адрес,Юридический адрес,Район города,Ближайшая станция метро,Руководитель,Телефон,Факс,Электронная почта,Количество мест,Муниципальное образование,ИНН,ОГРН,Прочее
11,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Санкт-Петербургский театр ""Суббота""","Санкт-Петербургский театр ""Суббота""","191126, г.Санкт-Петербург, Звенигородская улица, дом 30, литер А","191119, г.Санкт-Петербург, Звенигородская улица, дом 30",Центральный,Звенигородская,Лобанов Андрей Сергеевич,764 82 02,312-3042,theatreSubbota@yandex.ru,,муниципальное образование Владимирский округ,7825332987,1037843043336,http://www.teatr-subbota.ru/
12,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Государственный драматичекий театр ""Приют комедианта""","""Приют комедианта""","191023, г.Санкт-Петербург, Садовая улица, дом 27, литера А, помещение №1- Н","191023, г.Санкт-Петербург, Садовая улица, дом 27, литера А, помещение №1-Н",Центральный,"Садовая, Сенная, Спасская",Минков Виктор Михайлович,310-33-09,310-33-09,admin@pkteatr.ru,,муниципальный округ №78,7812044660,1027810260653,http://pkteatr.ru
13,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Санкт-Петербургский большой театр кукол""","СПб ГБ УК ""Санкт-Петербургский большой театр кукол""","г.Санкт-Петербург, улица Некрасова, дом 10-12, литер А","191104, г.Санкт-Петербург, улица Некрасова, дом 10,",Центральный,"Чернышевская, Маяковская",Калинин Александр Аркадьевич,273-60-72,272-90-65,btkpuppets@gmail.com,,муниципальное образование Литейный округ,7803007447,1037843042830,www.puppets.ru
14,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Санкт-Петербургский государственный академический театр балета имени Леонида Якобсона""","СПб ГУК "" Театр балета им. Л. Якобсона""","191014, г.Санкт-Петербург, улица Маяковского, дом 15, литера А,","191014, г.Санкт-Петербург, улица Маяковского, дом 15, литера А,",Центральный,Маяковская,Фадеев Андриан Гуриевич,273-19-97,273-05-89,office@yacobsonballet.ru,,муниципальное образование Литейный округ,7803059741,1037843130280,http://www.yacobsonballet.ru/
15,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Театр-студия ""Небольшой драматический театр""","СПб ГБ УК ""Театр-студия ""НДТ""","г.Санкт-Петербург, набережная канала Грибоедова, д.103, л.Б","г.Санкт-Петербург, набережная канала Грибоедова, д.103, л.Б",Центральный,"Садовая, Сенная площадь",Малекина Ксения Сергеевна,943-5113,574-4631,nebdt@mail.ru,,Муниципальное образование Адмиралтейский округ,7840413239,,http://nebdt.ru/
16,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Санкт-Петербургский академический Театр имени Ленсовета""","СПб ГБУК ""Санкт-Петербургский академический Театр имени Ленсовета""","191025, г.Санкт-Петербург, Владимирский проспект, дом 12, литера А,","191025, г.Санкт-Петербург, Владимирский проспект, дом 12, литера А,",Центральный,"Маяковская, Владимирская, Достоевская",Градковкий Валерий Борисович,764-39-65,764-47-80,lensov@lensov-theatre.spb.ru,,муниципальное образование Владимирский округ,7808045220,1037843030202,www.lensov-theatre.spb.ru
17,"Санкт-Петербургское государственное бюджетное учреждение культурьГ'Детский музыкальный театр ""Зазеркалье""","СПб ГБУК ДМТ ""Зазеркалье""","191002, г.Санкт-Петербург, улица Рубинштейна, дом 13,","191002, г.Санкт-Петербург, улица Рубинштейна, дом 13,",Центральный,"Маяковская, Владимирская, Достоевская",Петров Александр Васильевич,712-43-95,712-43-95,zazerkal-spb@mail.ru,,муниципальное образование Владимирский окру,7813046484,1037843024603,www.zazerkal.spb.ru
18,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Санкт-Петербургский государственный театр марионеток им. Е.С. Деммени""","СПб ГБУК ""Санкт-Петербургский государственный театр марионеток им. Е.С. Деммени""","191011, г.Санкт-Петербург, Садовая улица, дом 14/52, литер А, ( Невский проспект, дом 52)","191011, г.Санкт-Петербург, Невский проспект, дом 52,",Центральный,"Гостиный Двор, Невский проспект",Лунева Наталия Петровна,571-21-56,571-1900,"marionetki@list,ru",,муниципальное образование Дворцовый округ,7825337368,1037843044491,www.demmeni.org
19,"Санкт-Петербургское государственное автономное учреждение культуры ""Санкт-Петербургский государственный театр музыкальной комедии""",Театр музыкальной комедии,"191186, г.Санкт-Петербург, Итальянская улица, дом 13,","191011, г.Санкт-Петербург, Итальянская улица, дом 13,",Центральный,"Гостиный Двор, Невский проспект",Шварцкопф Юрий Алексеевич,570-5689,570-5689,no@no.com,,муниципальное образование Дворцовый округ,7825334649,1037843033436,www.spbmuzcomedy.com
20,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Академический драматический театр им. В.Ф.Комиссаржевской""","СПб ГБУК ""Санкт-Петербургский театр им. В.Ф.Комиссаржевской""","191011, г.Санкт-Петербург, Невский проспект, дом 48, литер А","191011, г.Санкт-Петербург, Итальянская улица, дом 19",Центральный,"Гостиный Двор, Невский проспект",Зайцев Вадим Игоревич,315-53-55,571-08-53,teatr@teatrvfk.ru,,муниципальное образование Дворцовый округ,7808038086,1027809234090,http://teatrvfk.ru
21,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Академический театр комедии имени Н.П.Акимова""",СПб ГБУК «Академический театр Комедии им. Н. П. Акимова»,"191011, г.Санкт-Петербург, Невский проспект, дом 56, литера А, помещение №6н,11н,14н,23н-25н","191023, г.Санкт-Петербург, Невский проспект, дом 56, литера А, помещение №6н,11н,14н,23н-25н",Центральный,"Гостиный Двор, Невский проспект",Фрадин Алексей Евгеньевич,314-1838,,IRINAPETROVA7@yandex.ru,,муниципальное образование Дворцовый округ,7808030376,1027809181542,www.komedia.spb.ru
22,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Санкт-Петербургский государственный академический театр оперы и балета им. М.П. Мусоргского - Михайловский театр""","СПб ГБ УК ""Михаиловский театр"", Санкт-Петербург","191186, г.Санкт-Петербург, площадь Искусств, дом 1,","191186, г.Санкт-Петербург, площадь Искусств, дом 1,",Центральный,"Гостиный Двор, Невский проспект",Делигач Ирина Леонидовна,595-4319,314-3653,info@mikhailovskiy.ru,,муниципальное образование Дворцовый округ,7830001525,1027809224607,www.mikhailovsky.ru
23,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Театр Эстрады имени Аркадия Райкина""","СПб ГБУК ""Театр Эстрады имени Аркадия Райкина""","191186, г.Санкт-Петербург, набережная реки Мойки, дом 40, литера А, (Большая Конюшенная, дом 27)","191186, г.Санкт-Петербург, набережная реки Мойки, дом 40, литера А",Центральный,Невский проспект,Пости Юлия Леонидовна,314-6561,314-70-65,estradaspb@mail.ru,,муниципальное образование Дворцовый округ,7841409683,1097847186656,www.estrada.spb.ru
24,"Санкт-Петербургское государственноеавтономное учреждение культуры ""Санкт-Петербургский государственный театр ""Мастерская""","Санкт-Петербургское государственноеавтономное учреждение культуры ""Санкт-Петербургский государственный театр ""Мастерская""","193079, Санкт-Петербург, Народная ул.,  д. 1","193079, Санкт-Петербург, Народная ул.,  д. 1",Невский,Ладожская,Барсегов Михаил Николаевич,(812) 447-8916,(812)446-3843,info@vteatrekozlov.net,,Муниципальный округ № 53,7811528612,1127847424495,http://www.vteatrekozlov.net/
